Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 410     6.046  -11515224.924  43095040  -0.00023   0.00047
 411     6.136  -11515227.867  43276935  -0.00564   0.00062
 412     5.806  -11515469.100  42227474   0.00115   0.00543
 413     5.896  -11515219.132  43791271   0.01061  -0.00094
 414     6.326  -11515104.828  41779062  -0.00119   0.00279
 415     6.016  -11515258.111  43517983   0.00050  -0.00314
 416     5.936  -11515214.970  44223790   0.00149  -0.00255
 417     6.066  -11515354.807  43296614   0.00515   0.00176
 418     6.006  -11515269.311  44879333   0.00433  -0.00301
 419     5.896  -11515426.943  40942125   0.00108   0.01022
 420     6.116  -11515329.525  40832879  -0.00901   0.00744
 421     5.886  -11515379.208  46508058   0.01002  -0.01077
 422     6.006  -11515627.160  40985844  -0.00074   0.00614
 423     5.996  -11515302.073  42706368   0.00694   0.00079
 424     5.946  -11515170.579  45568862  -0.00083  -0.00374
 425     5.836  -11515127.455  45718563   0.00087  -0.00676
 426     6.066  -11515209.523  41887593  -0.00893   0.00881
 427     5.956  -11515265.888  43682964   0.00423  -0.00191
 428     5.936  -11515320.416  41505095  -0.00158   0.00744
 429     6.126  -11515042.441  45312974   0.00152  -0.00648
 430     5.856  -11515038.291  45103665   0.00051   0.00034
 431     5.906  -11515123.168  44491546  -0.00241  -0.00239
 432     5.896  -11515324.650  44824464   0.00568  -0.00394
 433     6.156  -11515493.568  39590585  -0.00342   0.01117
 434     5.786  -11515337.651  43353389   0.00447   0.00114
 435     6.086  -11515210.725  43448780   0.00267  -0.00182
 436     6.036  -11515365.578  43633976  -0.00213  -0.00012
 437     5.986  -11515260.985  43846938  -0.00028  -0.00134
 438     5.976  -11515256.431  42837144  -0.00035   0.00116
 439     6.296  -11515069.479  43699915  -0.00779  -0.00245
 440     5.856  -11515235.778  44976540   0.00225  -0.00373
 441     6.016  -11515283.278  43471462   0.00071   0.00275
 442     6.126  -11515147.772  44263442   0.00306  -0.00543
 443     6.016  -11515235.119  44330474   0.00279  -0.00211
 444     6.006  -11515109.202  45468400  -0.00100  -0.00431
 445     6.016  -11515048.732  45203474  -0.00193  -0.00583
 446     5.896  -11515478.842  43158180   0.00160   0.00428
 447     5.756  -11515378.965  45032536   0.00487  -0.00354
 448     6.046  -11515318.307  44862426   0.00252  -0.00503
 449     6.056  -11515212.368  44949986  -0.00270  -0.00368
 450     5.936  -11515120.388  44339358   0.00742  -0.00316
 451     6.006  -11515514.250  40473919  -0.00373   0.01106
 452     6.046  -11515223.095  42751045   0.00359   0.00031
 453     6.026  -11515484.546  42322353   0.00328   0.00306
 454     6.016  -11515314.435  40422722  -0.00114   0.01069
 455     5.906  -11515381.156  43448719   0.00104   0.00207
 456     6.086  -11515311.819  42291187  -0.00412   0.00570
 457     5.936  -11515290.459  44714026   0.00262  -0.00348
 458     6.126  -11515379.152  41372487   0.00202   0.00877
 459     6.066  -11515258.938  43695769   0.00247  -0.00013
 460     5.806  -11515151.301  46033339  -0.00008  -0.00612
 461     6.066  -11514922.149  45563041  -0.00825  -0.00835
 462     5.996  -11515399.007  43875584   0.00315   0.00013
 463     5.956  -11515261.405  44650845  -0.00069  -0.00217
 464     6.146  -11515066.661  43247271  -0.00177  -0.00148
 465     6.166  -11515521.067  39986904   0.00280   0.01282
 466     6.236  -11515236.119  41879588  -0.00455   0.00361
 467     6.046  -11515428.661  42725863   0.00542   0.00497
 468     5.996  -11515261.219  44492785   0.00288  -0.00174
 469     6.266  -11514980.526  43973388  -0.00028  -0.00128
 470     5.916  -11515370.422  42928497   0.00501   0.00359
 471     5.796  -11515225.883  45495635   0.00389  -0.00498
 472     6.006  -11514990.092  44367011  -0.00176  -0.00435
 473     5.856  -11515086.233  44724306  -0.00277  -0.00185
 474     6.076  -11515241.389  42302851  -0.00504   0.00667
 475     6.046  -11515172.399  41677854  -0.00568   0.00356
 476     6.056  -11515083.149  44537786   0.00135  -0.00125
