Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 199     1.420  -10278717.843  6398542  -0.00626  -0.00412
 200     1.420  -10278776.890  6115825  -0.00355  -0.00174
 201     1.410  -10278844.108  5540339  -0.00282   0.00597
 202     1.410  -10278629.514  5906292  -0.00969   0.00145
 203     1.430  -10278713.337  6381804  -0.00411  -0.00509
 204     1.430  -10278700.423  5622569  -0.00661   0.00488
 205     1.430  -10278690.866  6261619  -0.00128  -0.00219
 206     1.390  -10278667.857  6476966  -0.00510  -0.00346
 207     1.350  -10278570.834  6495772  -0.00696  -0.00499
 208     1.340  -10278791.385  6010124   0.00376   0.00094
 209     1.310  -10278834.111  6304882   0.01246  -0.00241
 210     1.360  -10278823.227  5881210   0.00656   0.00176
 211     1.430  -10278699.749  5311787   0.00324   0.00731
 212     1.450  -10278724.569  6736740   0.00447  -0.00584
 213     1.540  -10278852.073  5570250   0.00692   0.00731
 214     1.450  -10278848.547  6072437   0.00127  -0.00051
 215     1.400  -10278682.162  6803073   0.00040  -0.00729
 216     1.380  -10278714.175  6303349   0.01109  -0.00308
 217     1.460  -10278737.445  6032748  -0.00942  -0.00036
 218     1.350  -10278720.489  5954286   0.00263   0.00090
 219     1.570  -10278719.991  5962580  -0.00287   0.00200
 220     1.480  -10278702.533  6674183   0.00604  -0.00543
 221     1.370  -10278626.317  6295333  -0.00376  -0.00339
 222     1.560  -10278766.903  5561201  -0.00134   0.00468
 223     1.480  -10278798.603  5680677   0.00258   0.00651
 224     1.450  -10278674.963  6001998  -0.00451  -0.00003
 225     1.480  -10278742.867  5871087  -0.00773   0.00078
 226     1.380  -10278816.997  5897991   0.00400  -0.00128
 227     1.570  -10278629.441  5910958   0.00669   0.00044
 228     1.450  -10278720.482  6556202   0.00797  -0.00340
 229     1.370  -10278781.893  5670027  -0.00022   0.00326
 230     1.410  -10278539.644  5877457  -0.01685   0.00082
 231     1.420  -10278709.831  6230289  -0.00479  -0.00306
 232     1.340  -10278724.962  6851778   0.01162  -0.00827
 233     1.370  -10278798.862  5860323   0.00353   0.00423
 234     1.460  -10278667.654  5545005  -0.00323   0.00529
 235     1.450  -10278707.380  6558286   0.00631  -0.00506
 236     1.400  -10278870.079  6045021   0.01109   0.00103
 237     1.390  -10278750.213  5820005  -0.00269   0.00269
 238     1.430  -10278647.552  6952600  -0.00300  -0.01024
 239     1.370  -10278668.239  6062882  -0.00616   0.00061
 240     1.400  -10278684.993  5937666  -0.00717   0.00210
 241     1.380  -10278725.931  6519627   0.00285  -0.00539
 242     1.330  -10278704.953  5298476  -0.00353   0.00788
 243     1.560  -10278637.718  6517329  -0.00412  -0.00179
 244     1.440  -10278724.274  6093559   0.00412  -0.00157
 245     1.440  -10278784.842  5959409   0.00822  -0.00004
 246     1.500  -10278735.560  6038573  -0.00019   0.00156
 247     1.390  -10278747.918  5397875  -0.00067   0.00474
 248     1.390  -10278702.801  6999157   0.00002  -0.00824
 249     1.460  -10278687.321  6027513  -0.00442  -0.00069
 250     1.400  -10278698.998  6387277   0.00158  -0.00325
 251     1.400  -10278810.993  5425745   0.00840   0.00743
 252     1.410  -10278744.459  6346189   0.00082  -0.00397
 253     1.420  -10278789.219  6233556   0.00160  -0.00127
 254     1.340  -10278870.552  5925797   0.01650   0.00372
 255     1.550  -10278843.516  5178440   0.00202   0.00909
 256     1.370  -10278708.723  6154494  -0.00713  -0.00095
 257     1.400  -10278733.913  6040397   0.00430   0.00027
 258     1.420  -10278748.154  5485334  -0.00211   0.00554
 259     1.410  -10278785.880  5825272  -0.00118   0.00089
 260     1.390  -10278749.694  5280487   0.00009   0.00685
 261     1.370  -10278694.603  5986327   0.00007  -0.00070
 262     1.340  -10278664.943  6658170  -0.00257  -0.00419
 263     1.390  -10278804.607  5268395   0.00524   0.00840
 264     1.400  -10278714.905  5961952  -0.00592   0.00073
 265     1.360  -10278813.726  5567785   0.00966   0.00338
 266     1.460  -10278647.481  5705516  -0.00546   0.00240
 267     1.410  -10278811.756  5960726   0.01041  -0.00022
 268     1.380  -10278734.619  5847940  -0.00524   0.00113
 269     1.370  -10278826.684  6444283   0.00595  -0.00286
 270     1.430  -10278789.253  5392682   0.00085   0.00553
 271     1.390  -10278741.920  5854996   0.00000   0.00141
 272     1.340  -10278726.602  6271160  -0.00143  -0.00012
 273     1.350  -10278708.844  6307718  -0.00245  -0.00349
 274     1.390  -10278748.721  6341309   0.00187  -0.00431
 275     1.380  -10278701.386  6004126  -0.00554  -0.00026
 276     1.410  -10278741.735  6234181   0.00196  -0.00127
 277     1.600  -10278700.154  6328750  -0.00714  -0.00231
 278     1.380  -10278751.648  5881017   0.00167   0.00192
 279     1.420  -10278641.753  5655642  -0.00877   0.00498
 280     1.370  -10278677.541  5995184  -0.00313   0.00012
 281     1.430  -10278710.200  6150762  -0.00161  -0.00064
