Distribution of estimated Rho values

Shuffle   Rho    Lkmax      G4     corr(r2,d)   corr(D',d)
 344     4.895  -8924367.019  27023505   0.00182  -0.00455
 345     4.795  -8924329.356  27326457  -0.00178  -0.00585
 346     4.935  -8924207.571  25945123  -0.00336   0.00007
 347     5.025  -8924548.836  23561860   0.00416   0.01453
 348     4.955  -8924427.480  26936900   0.01162  -0.00341
 349     4.975  -8924503.698  23367723  -0.00835   0.01482
 350     5.025  -8924333.303  26125263  -0.00506  -0.00225
 351     5.005  -8924390.699  24809104  -0.00089   0.00434
 352     4.825  -8924350.856  26823229   0.00231  -0.00284
 353     4.915  -8924294.367  26515445   0.00500  -0.00152
 354     4.935  -8924333.490  25792858  -0.00078   0.00182
 355     4.735  -8924326.376  26385797  -0.00059   0.00141
 356     4.965  -8924258.171  27377466   0.00010  -0.00595
 357     4.865  -8924267.224  26080196  -0.00792   0.00008
 358     5.075  -8924252.865  26349164  -0.00547  -0.00327
 359     4.885  -8924332.584  26310922   0.00199  -0.00091
 360     5.015  -8924211.859  25627306  -0.00587   0.00337
 361     4.935  -8924330.337  27236495   0.00085  -0.00532
 362     4.925  -8924472.879  24440295  -0.00776   0.01039
 363     5.045  -8924334.054  25501638   0.00023   0.00119
 364     4.875  -8924516.834  24692921   0.00544   0.00802
 365     4.955  -8924303.239  25808194  -0.00244   0.00273
 366     4.995  -8924218.125  27171890   0.00269  -0.00584
 367     4.895  -8924342.866  25412513  -0.00391   0.00323
 368     4.875  -8924304.292  26653895   0.00093  -0.00381
 369     4.885  -8924237.045  25752326   0.00137   0.00093
 370     4.855  -8924184.841  26919182   0.00268  -0.00248
 371     4.965  -8924415.850  25783775   0.00449   0.00182
 372     4.955  -8924241.458  26587709  -0.00411  -0.00421
 373     4.965  -8924359.688  26752970  -0.00335  -0.00071
 374     4.895  -8924474.226  24007997  -0.00081   0.01182
 375     5.005  -8924284.228  26703771   0.00164  -0.00384
 376     4.895  -8924494.841  24682867   0.00225   0.00875
 377     5.065  -8924219.507  26877583  -0.00212  -0.00347
 378     4.865  -8924269.854  27029442  -0.00007  -0.00223
 379     4.865  -8924329.648  26117987   0.00367  -0.00075
 380     4.905  -8924152.179  27331493  -0.00301  -0.00553
 381     5.195  -8924178.845  26217362  -0.00495  -0.00203
 382     5.005  -8924228.093  28045056   0.00254  -0.01008
 383     4.935  -8924288.266  26808513  -0.00002  -0.00233
 384     4.965  -8924288.297  26843128   0.00397  -0.00362
 385     4.935  -8924328.467  26222340  -0.00308  -0.00130
 386     4.935  -8924268.675  26148154  -0.00404   0.00079
 387     4.845  -8924337.870  26642660  -0.00260  -0.00251
 388     4.795  -8924328.365  26267731  -0.00498  -0.00125
 389     4.915  -8924264.396  27288480   0.00687  -0.00550
 390     4.955  -8924327.346  27027335   0.00092  -0.00515
 391     4.755  -8924335.876  27184235   0.00432  -0.00526
 392     4.845  -8924365.311  27021732   0.00289  -0.00327
 393     4.815  -8924382.907  26099948   0.00371   0.00153
 394     5.015  -8924100.931  28307747  -0.00161  -0.01097
 395     4.955  -8924449.596  25011483   0.00749   0.00704
 396     4.985  -8924382.194  24045734  -0.00040   0.01016
 397     4.945  -8924382.345  26158706   0.00372   0.00094
 398     4.875  -8924475.856  25461084   0.00850   0.00437
 399     4.865  -8924222.963  26896279   0.00104  -0.00195
 400     5.005  -8924342.513  26824840   0.00620  -0.00469
 401     4.895  -8924278.448  26474791   0.00154  -0.00115
 402     4.895  -8924423.265  26454562   0.00545  -0.00088
 403     4.865  -8924193.261  27975598  -0.00146  -0.00679
 404     4.895  -8924417.573  25680230   0.00023   0.00150
 405     4.965  -8924562.086  24619998   0.00490   0.00489
 406     4.955  -8924160.877  26547075  -0.00829  -0.00004
 407     4.985  -8924316.389  27138475  -0.00025  -0.00411
 408     4.885  -8924428.326  24408582  -0.01079   0.00750
 409     4.805  -8924292.000  25389713   0.00094   0.00200
 410     4.975  -8924279.144  26686861  -0.00153  -0.00198
 411     4.855  -8924487.841  26780665   0.00471  -0.00451
 412     4.885  -8924326.443  27189375   0.00226  -0.00764
 413     4.745  -8924395.597  25984730   0.00059  -0.00023
 414     4.965  -8924153.032  27163934  -0.00038  -0.00463
 415     4.955  -8924425.261  24732467   0.00692   0.00909
 416     4.895  -8924384.301  24490719  -0.00373   0.00644
 417     5.025  -8924191.041  27026165  -0.00359  -0.00647
 418     4.855  -8924427.360  25286808   0.00159   0.00363
 419     4.885  -8924191.278  26031189  -0.00337  -0.00078
 420     5.025  -8924284.044  25396894  -0.00246   0.00157
 421     4.975  -8924264.477  25990451  -0.00401   0.00060
 422     5.025  -8924266.639  26814736   0.00190  -0.00369
 423     4.845  -8924436.891  26898693   0.00429  -0.00542
 424     4.935  -8924388.295  25597088   0.00135   0.00256
 425     4.925  -8924411.270  25866796  -0.00154   0.00222
 426     4.945  -8924278.318  25754234  -0.00878   0.00107
 427     4.885  -8924346.346  26192424  -0.00245   0.00183
 428     5.015  -8924245.648  27431068  -0.00463  -0.00665
 429     4.895  -8924237.087  27569406  -0.00162  -0.00505
 430     4.955  -8924225.092  26505350  -0.00169  -0.00463
 431     4.885  -8924335.076  27304761   0.00279  -0.00617
 432     4.855  -8924441.730  25513911  -0.00344   0.00263
 433     4.915  -8924302.056  25987311  -0.00016  -0.00022
 434     4.845  -8924330.652  27384786   0.00637  -0.00642
 435     4.915  -8924104.461  28493185   0.00483  -0.01213
 436     5.085  -8924186.053  25727115  -0.01158   0.00182
 437     4.985  -8924188.583  27113285  -0.00648  -0.00463
 438     4.915  -8924343.831  27039735   0.00505  -0.00604
 439     4.945  -8924474.811  26244346   0.00264   0.00039
 440     4.925  -8924325.435  25826952  -0.00614   0.00037
 441     5.085  -8924264.783  26077237  -0.00294  -0.00050
 442     4.845  -8924398.698  26847946   0.00240  -0.00012
 443     5.015  -8924267.087  26649419   0.00199  -0.00445
 444     4.905  -8924295.978  26463314  -0.00281  -0.00184
 445     4.905  -8924240.776  27425513  -0.00160  -0.00810
 446     4.965  -8924396.411  24828538  -0.00105   0.00623
 447     4.925  -8924445.970  25409504   0.00275   0.00161
 448     4.945  -8924552.412  24561331   0.00149   0.00985
 449     4.975  -8924270.697  28137498  -0.00105  -0.01034
 450     5.035  -8924159.056  28117803   0.00101  -0.00952
 451     4.905  -8924305.045  27020763   0.00409  -0.00337
 452     4.985  -8924277.598  25818908   0.00140  -0.00043
 453     4.875  -8924291.754  26099867  -0.00303   0.00031
 454     4.915  -8924300.778  26798615   0.00210  -0.00252
 455     4.955  -8924286.447  27616046   0.00420  -0.00923
 456     4.935  -8924167.266  26945677  -0.00076  -0.00122
 457     4.905  -8924277.573  27071867   0.00163  -0.00482
 458     4.975  -8924285.990  26180769  -0.00252  -0.00103
 459     4.935  -8924213.011  26971085  -0.00595  -0.00261
 460     4.795  -8924510.753  25507462   0.00492   0.00366
 461     5.035  -8924255.538  26581706   0.00223  -0.00300
 462     5.035  -8924601.091  23620360   0.00401   0.01140
 463     5.005  -8924281.239  27296768   0.00499  -0.00524
 464     4.795  -8924484.413  25838917   0.00542   0.00174
 465     4.985  -8924186.728  27695267  -0.00677  -0.01196
 466     4.865  -8924436.218  24378012  -0.00313   0.00689
 467     5.025  -8924162.359  26378382   0.00455  -0.00101
 468     4.955  -8924426.018  25752283  -0.00346   0.00187
 469     4.965  -8924339.546  27431343  -0.00378  -0.00550
 470     4.925  -8924260.643  26475522   0.00130  -0.00054
 471     5.035  -8924245.575  27343303   0.00462  -0.00594
 472     4.895  -8924340.107  26474371   0.00109  -0.00112
 473     4.985  -8924310.310  26641251   0.00245  -0.00306
 474     4.835  -8924340.916  24752197   0.00404   0.00652
 475     5.045  -8924244.161  26482544  -0.00091  -0.00351
 476     4.925  -8924474.935  25022955   0.00358   0.00562
