
Rho     Fit     CLR     CF
    0.60 10969.76    0.000  -20.226
    0.60 11329.06    0.000   56.632
    0.50  9383.08   51.079 -109.549
    0.60  9622.58    0.000  -99.967
    0.60 11496.10    0.000   35.001
    0.60 11415.04    0.000   79.384
    0.60 10618.77    0.000  -33.096
    0.60 10100.60    0.000   43.851
    0.60 12276.32    0.000   90.542
    0.50  9802.54   23.505  139.701
    0.60 11393.42    0.000  -57.384
    0.50 11487.46   25.354   77.873
    0.50  9856.29    0.113 -111.423
    0.50 11371.89   17.331  -48.047
    0.60 10858.96    0.000   45.013
    0.50  9646.11   23.228  -68.441
    0.60 10554.08    0.000   22.196
    0.60 11434.43    0.000 -215.092
    0.60 10331.41    0.000  116.410
    0.50 10284.11   64.105  154.798
    0.50 10669.97   57.974  -62.149
    0.60 13228.75    0.000    5.427
    0.60 11403.89    0.000 -300.309
    0.60 10681.76    0.000   -6.294
    0.50  9499.58   81.160   59.881
    0.70 11676.84   17.635   93.771
    0.50 10832.61   40.255  -39.703
    0.60 10771.52    0.000 -132.122
    0.60 10683.28    0.000  -72.140
    0.60 10995.13    0.000  -48.104
    0.60 10633.62    0.000 -108.930
    0.50 10519.61   18.349 -107.360
    0.50  9935.67   41.726  -92.169
    0.60 10744.07    0.000   51.991
    0.50 11081.30   68.145 -119.090
    0.60 11028.89    0.000 -135.468
    0.60 13111.58    0.000  182.631
    0.70 11476.69   16.134  115.307
    0.60 11855.88    0.000  287.642
    0.60 10024.31    0.000  -26.855
    0.50  9884.42  106.908   83.227
    0.70 12107.80   34.059  100.913
    0.60 10765.45    0.000  -63.480
    0.60 11539.24    0.000    1.078
    0.60 10466.75    0.000  -59.722
    0.60  9255.61    0.000  -80.404
    0.60  9831.66    0.000 -305.415
    0.40 10758.46  132.227 -261.761
    0.60 11112.02    0.000  -60.788
    0.60 10476.71    0.000   -9.784
    0.50  9913.27   19.607  -19.160
    0.70 12968.90   18.431   53.160
    0.50  9383.06   71.844  -90.780
    0.60 10410.63    0.000   -9.850
    0.60 11518.93    0.000   53.473
    0.50 10531.55   54.168   94.346
    0.60 10017.78    0.000  -10.107
    0.50 10326.49    8.096 -155.686
    0.50  9402.76   27.609   79.840
    0.60  9766.31    0.000  -66.692
    0.60 11128.13    0.000  -43.958
    0.50 10427.05   43.729 -156.399
    0.70 13043.77   60.457  -98.699
    0.50 10427.66   75.376  155.119
    0.50  9858.81   28.151 -114.054
    0.50 10634.32   63.845  -39.501
    0.50 10740.29    7.916  105.732
    0.60  9151.41    0.000 -186.498
    0.50  9956.85   58.792  108.164
    0.70 12213.29  117.227 -130.866
    0.70 13590.28  108.468   47.327
    0.60  9381.51    0.000 -236.199
    0.50 10541.79   75.147  -81.594
    0.60 11838.19    0.000  -70.927
    0.50 10597.42   84.060 -174.983
    0.50  9776.20   32.514  -59.783
    0.60 10789.49    0.000  -73.037
    0.60 10438.90    0.000  -28.360
    0.50 11077.18   40.905 -187.315
    0.50 10005.62   69.013  -34.170
    0.50 10688.45   55.655  -11.471
    0.50 11157.98    4.653 -261.771
